City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tabou,4.423,-7.3528,298.59,88,76,0.7,CI,1700718129
1,nadi,-17.8,177.4167,303.15,58,20,5.66,FJ,1700718129
2,touros,-5.1989,-35.4608,299.64,69,51,7.08,BR,1700718129
3,adamstown,-25.066,-130.1015,294.44,69,0,4.72,PN,1700717928
4,qaqortoq,60.7167,-46.0333,265.57,66,66,2.45,GL,1700718129
5,grytviken,-54.2811,-36.5092,274.41,93,100,2.73,GS,1700718129
6,opuwo,-18.0607,13.84,300.55,27,52,2.51,NA,1700718129
7,albany,42.6001,-73.9662,280.11,92,100,0.89,US,1700718130
8,anadyr,64.75,177.4833,273.43,86,75,8.0,RU,1700718055
9,nuku'alofa,-21.1333,-175.2,299.34,78,20,5.66,TO,1700718130
10,alo,7.4178,6.7371,296.9,95,28,1.07,NG,1700718130
11,longyearbyen,78.2186,15.6401,272.06,74,75,10.8,SJ,1700718130
12,blackmans bay,-43.0167,147.3167,290.78,70,6,0.89,AU,1700718130
13,saurimo,-9.6608,20.3916,292.14,98,100,1.62,AO,1700718130
14,nar'yan-mar,67.6713,53.087,261.87,96,100,1.93,RU,1700717933
15,iqaluit,63.7506,-68.5145,269.0,63,75,3.09,CA,1700717977
16,mana,5.6592,-53.7767,298.13,93,23,3.66,GF,1700718130
17,vodnyy,63.5046,53.4095,263.94,92,100,3.21,RU,1700718131
18,hermanus,-34.4187,19.2345,292.39,79,8,3.37,ZA,1700718131
19,taoudenni,22.6783,-3.9836,293.02,18,80,2.12,ML,1700718131
20,cole harbour,44.6724,-63.4751,280.21,95,100,11.83,CA,1700718131
21,port-aux-francais,-49.35,70.2167,279.05,95,100,18.83,TF,1700718131
22,olonkinbyen,70.9221,-8.7187,265.61,93,100,20.51,SJ,1700718131
23,mount isa,-20.7333,139.5,306.02,33,68,2.06,AU,1700718131
24,panaba,21.2833,-88.2667,294.39,87,8,2.05,MX,1700718131
25,nchelenge,-9.3451,28.734,296.19,77,100,1.07,ZM,1700718131
26,saint-francois,46.4154,3.9054,271.84,100,61,0.51,FR,1700718131
27,ribeira grande,38.5167,-28.7,290.8,93,25,0.89,PT,1700718132
